




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
thigmotaxis (GO:0001966)	4	1	.07	+	15.00	6.50E-02	8.40E-01
regulation of angiotensin-activated signaling pathway (GO:0110061)	4	1	.07	+	15.00	6.50E-02	8.39E-01
cellular response to prostaglandin D stimulus (GO:0071799)	4	1	.07	+	15.00	6.50E-02	8.39E-01
response to prostaglandin D (GO:0071798)	4	1	.07	+	15.00	6.50E-02	8.38E-01
negative regulation of primary miRNA processing (GO:2000635)	4	1	.07	+	15.00	6.50E-02	8.37E-01
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	4	1	.07	+	15.00	6.50E-02	8.37E-01
negative regulation of granulocyte chemotaxis (GO:0071623)	4	1	.07	+	15.00	6.50E-02	8.36E-01
protein localization to secretory granule (GO:0033366)	4	1	.07	+	15.00	6.50E-02	8.35E-01
metanephric renal vesicle formation (GO:0072093)	4	1	.07	+	15.00	6.50E-02	8.35E-01
positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)	12	3	.20	+	15.00	9.04E-04	7.29E-02
interleukin-9-mediated signaling pathway (GO:0038113)	8	2	.13	+	15.00	7.26E-03	2.95E-01
interleukin-2-mediated signaling pathway (GO:0038110)	8	2	.13	+	15.00	7.26E-03	2.94E-01
L-arginine biosynthetic process (GO:0006526)	4	1	.07	+	15.00	6.50E-02	8.34E-01
cellular response to heparin (GO:0071504)	4	1	.07	+	15.00	6.50E-02	8.33E-01
RNA import into nucleus (GO:0006404)	4	1	.07	+	15.00	6.50E-02	8.32E-01
cellular response to amine stimulus (GO:0071418)	4	1	.07	+	15.00	6.50E-02	8.32E-01
renin-angiotensin regulation of aldosterone production (GO:0002018)	4	1	.07	+	15.00	6.50E-02	8.31E-01
renin secretion into blood stream (GO:0002001)	4	1	.07	+	15.00	6.50E-02	8.30E-01
endocardial cushion to mesenchymal transition (GO:0090500)	4	1	.07	+	15.00	6.50E-02	8.30E-01
termination of RNA polymerase I transcription (GO:0006363)	4	1	.07	+	15.00	6.50E-02	8.29E-01
cellular response to interleukin-9 (GO:0071355)	8	2	.13	+	15.00	7.26E-03	2.94E-01
cellular response to interleukin-2 (GO:0071352)	8	2	.13	+	15.00	7.26E-03	2.93E-01
negative regulation of neutrophil apoptotic process (GO:0033030)	4	1	.07	+	15.00	6.50E-02	8.28E-01
protein carboxylation (GO:0018214)	4	1	.07	+	15.00	6.50E-02	8.28E-01
regulation of peptidyl-cysteine S-nitrosylation (GO:2000169)	8	2	.13	+	15.00	7.26E-03	2.92E-01
positive regulation of protein oligomerization (GO:0032461)	4	1	.07	+	15.00	6.50E-02	8.27E-01
response to methylmercury (GO:0051597)	4	1	.07	+	15.00	6.50E-02	8.26E-01
negative regulation of lymphangiogenesis (GO:1901491)	4	1	.07	+	15.00	6.50E-02	8.26E-01
regulation of synapse pruning (GO:1905806)	12	3	.20	+	15.00	9.04E-04	7.25E-02
negative regulation of cortisol biosynthetic process (GO:2000065)	4	1	.07	+	15.00	6.50E-02	8.25E-01
negative regulation of aldosterone biosynthetic process (GO:0032348)	4	1	.07	+	15.00	6.50E-02	8.24E-01
negative regulation of aldosterone metabolic process (GO:0032345)	4	1	.07	+	15.00	6.50E-02	8.24E-01
regulation of axon extension involved in regeneration (GO:0048690)	4	1	.07	+	15.00	6.50E-02	8.23E-01
regulation of negative chemotaxis (GO:0050923)	4	1	.07	+	15.00	6.50E-02	8.22E-01
positive regulation of synaptic transmission, dopaminergic (GO:0032226)	4	1	.07	+	15.00	6.50E-02	8.22E-01
unidimensional cell growth (GO:0009826)	4	1	.07	+	15.00	6.50E-02	8.21E-01
negative regulation of neutrophil chemotaxis (GO:0090024)	4	1	.07	+	15.00	6.50E-02	8.20E-01
protein localization to lipid droplet (GO:1990044)	4	1	.07	+	15.00	6.50E-02	8.19E-01
ascending aorta morphogenesis (GO:0035910)	4	1	.07	+	15.00	6.50E-02	8.19E-01
response to high light intensity (GO:0009644)	4	1	.07	+	15.00	6.50E-02	8.18E-01
imitative learning (GO:0098596)	8	2	.13	+	15.00	7.26E-03	2.91E-01
positive regulation of hepatic stellate cell proliferation (GO:1904899)	4	1	.07	+	15.00	6.50E-02	8.17E-01
ureter maturation (GO:0035799)	4	1	.07	+	15.00	6.50E-02	8.17E-01
regulation of natural killer cell degranulation (GO:0043321)	4	1	.07	+	15.00	6.50E-02	8.16E-01
negative regulation of myofibroblast differentiation (GO:1904761)	4	1	.07	+	15.00	6.50E-02	8.15E-01
phosphatidylinositol acyl-chain remodeling (GO:0036149)	4	1	.07	+	15.00	6.50E-02	8.15E-01
regulation of granulosa cell apoptotic process (GO:1904708)	4	1	.07	+	15.00	6.50E-02	8.14E-01
sequestering of BMP in extracellular matrix (GO:0035582)	4	1	.07	+	15.00	6.50E-02	8.14E-01
phosphatidylinositol catabolic process (GO:0031161)	4	1	.07	+	15.00	6.50E-02	8.13E-01
dense core granule priming (GO:0061789)	4	1	.07	+	15.00	6.50E-02	8.12E-01
creatine transmembrane transport (GO:0015881)	4	1	.07	+	15.00	6.50E-02	8.12E-01
regulation of endothelin production (GO:1904470)	4	1	.07	+	15.00	6.50E-02	8.11E-01
phospholipase C-activating angiotensin-activated signaling pathway (GO:0086097)	4	1	.07	+	15.00	6.50E-02	8.10E-01
terpenoid transport (GO:0046865)	4	1	.07	+	15.00	6.50E-02	8.10E-01
isoprenoid transport (GO:0046864)	4	1	.07	+	15.00	6.50E-02	8.09E-01
taurine biosynthetic process (GO:0042412)	4	1	.07	+	15.00	6.50E-02	8.08E-01
polyprenol biosynthetic process (GO:0016094)	4	1	.07	+	15.00	6.50E-02	8.08E-01
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	4	1	.07	+	15.00	6.50E-02	8.07E-01
vocal learning (GO:0042297)	8	2	.13	+	15.00	7.26E-03	2.91E-01
regulation of locomotor rhythm (GO:1904059)	4	1	.07	+	15.00	6.50E-02	8.06E-01
positive regulation of membrane tubulation (GO:1903527)	4	1	.07	+	15.00	6.50E-02	8.06E-01
neuroligin clustering involved in postsynaptic membrane assembly (GO:0097118)	4	1	.07	+	15.00	6.50E-02	8.05E-01
response to alkaline pH (GO:0010446)	4	1	.07	+	15.00	6.50E-02	8.04E-01
neural plate anterior/posterior regionalization (GO:0021999)	4	1	.07	+	15.00	6.50E-02	8.04E-01
positive regulation of phospholipid efflux (GO:1902995)	4	1	.07	+	15.00	6.50E-02	8.03E-01
regulation of phospholipid efflux (GO:1902994)	4	1	.07	+	15.00	6.50E-02	8.02E-01
alkanesulfonate biosynthetic process (GO:0046305)	4	1	.07	+	15.00	6.50E-02	8.02E-01
negative regulation of amacrine cell differentiation (GO:1902870)	4	1	.07	+	15.00	6.50E-02	8.01E-01
trachea cartilage morphogenesis (GO:0060535)	4	1	.07	+	15.00	6.50E-02	8.01E-01
glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	13	3	.22	+	13.84	1.16E-03	8.48E-02
negative regulation of leukocyte degranulation (GO:0043301)	13	3	.22	+	13.84	1.16E-03	8.44E-02
chemosensory behavior (GO:0007635)	26	6	.43	+	13.84	3.58E-06	8.48E-04
negative regulation of regulated secretory pathway (GO:1903306)	26	6	.43	+	13.84	3.58E-06	8.35E-04
growth hormone receptor signaling pathway via JAK-STAT (GO:0060397)	9	2	.15	+	13.33	9.23E-03	3.41E-01
neuron cell-cell adhesion (GO:0007158)	9	2	.15	+	13.33	9.23E-03	3.40E-01
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	9	2	.15	+	13.33	9.23E-03	3.40E-01
gamma-aminobutyric acid secretion (GO:0014051)	9	2	.15	+	13.33	9.23E-03	3.39E-01
response to interleukin-9 (GO:0071104)	9	2	.15	+	13.33	9.23E-03	3.38E-01
positive regulation of synaptic vesicle membrane organization (GO:1901634)	14	3	.23	+	12.85	1.46E-03	9.99E-02
calcium-dependent activation of synaptic vesicle fusion (GO:0099502)	14	3	.23	+	12.85	1.46E-03	9.95E-02
positive regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031632)	14	3	.23	+	12.85	1.46E-03	9.90E-02
cellular response to prostaglandin stimulus (GO:0071379)	19	4	.32	+	12.63	2.41E-04	2.60E-02
positive regulation of Ras protein signal transduction (GO:0046579)	24	5	.40	+	12.50	4.10E-05	6.19E-03
cellular response to prostaglandin E stimulus (GO:0071380)	15	3	.25	+	12.00	1.80E-03	1.14E-01
response to oleic acid (GO:0034201)	5	1	.08	+	12.00	8.06E-02	9.33E-01
renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure (GO:0003072)	10	2	.17	+	12.00	1.14E-02	3.82E-01
acrosomal vesicle exocytosis (GO:0060478)	5	1	.08	+	12.00	8.06E-02	9.32E-01
third ventricle development (GO:0021678)	5	1	.08	+	12.00	8.06E-02	9.31E-01
regulation of parathyroid hormone secretion (GO:2000828)	5	1	.08	+	12.00	8.06E-02	9.31E-01
protein localization to adherens junction (GO:0071896)	5	1	.08	+	12.00	8.06E-02	9.30E-01
negative regulation of neutrophil migration (GO:1902623)	5	1	.08	+	12.00	8.06E-02	9.29E-01
renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure (GO:0001999)	5	1	.08	+	12.00	8.06E-02	9.29E-01
medulla oblongata development (GO:0021550)	5	1	.08	+	12.00	8.06E-02	9.28E-01
negative regulation of receptor recycling (GO:0001920)	5	1	.08	+	12.00	8.06E-02	9.27E-01
serotonin receptor signaling pathway (GO:0007210)	10	2	.17	+	12.00	1.14E-02	3.82E-01
phospholipase C-activating serotonin receptor signaling pathway (GO:0007208)	5	1	.08	+	12.00	8.06E-02	9.27E-01
regulation of metanephros development (GO:0072215)	5	1	.08	+	12.00	8.06E-02	9.26E-01
negative regulation of dendritic cell differentiation (GO:2001199)	5	1	.08	+	12.00	8.06E-02	9.25E-01
B cell selection (GO:0002339)	5	1	.08	+	12.00	8.06E-02	9.24E-01
pro-B cell differentiation (GO:0002328)	5	1	.08	+	12.00	8.06E-02	9.24E-01
negative regulation of smooth muscle cell chemotaxis (GO:0071672)	5	1	.08	+	12.00	8.06E-02	9.23E-01
somite specification (GO:0001757)	5	1	.08	+	12.00	8.06E-02	9.22E-01
positive regulation of monocyte extravasation (GO:2000439)	5	1	.08	+	12.00	8.06E-02	9.22E-01
notochord formation (GO:0014028)	5	1	.08	+	12.00	8.06E-02	9.21E-01
maintenance of blood vessel diameter homeostasis by renin-angiotensin (GO:0002034)	10	2	.17	+	12.00	1.14E-02	3.81E-01
angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure (GO:0002033)	5	1	.08	+	12.00	8.06E-02	9.20E-01
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	5	1	.08	+	12.00	8.06E-02	9.20E-01
transcription initiation at mitochondrial promoter (GO:0006391)	5	1	.08	+	12.00	8.06E-02	9.19E-01
cellular response to interleukin-15 (GO:0071350)	10	2	.17	+	12.00	1.14E-02	3.80E-01
cellular response to nicotine (GO:0071316)	10	2	.17	+	12.00	1.14E-02	3.79E-01
protein targeting to chloroplast (GO:0045036)	5	1	.08	+	12.00	8.06E-02	9.18E-01
positive regulation of neutrophil apoptotic process (GO:0033031)	5	1	.08	+	12.00	8.06E-02	9.18E-01
regulation of neutrophil apoptotic process (GO:0033029)	10	2	.17	+	12.00	1.14E-02	3.78E-01
action potential initiation (GO:0099610)	5	1	.08	+	12.00	8.06E-02	9.17E-01
protein O-linked glycosylation via threonine (GO:0018243)	10	2	.17	+	12.00	1.14E-02	3.77E-01
protein O-linked glycosylation via serine (GO:0018242)	10	2	.17	+	12.00	1.14E-02	3.77E-01
leukemia inhibitory factor signaling pathway (GO:0048861)	5	1	.08	+	12.00	8.06E-02	9.16E-01
negative regulation of glucocorticoid biosynthetic process (GO:0031947)	5	1	.08	+	12.00	8.06E-02	9.16E-01
negative regulation of glucocorticoid metabolic process (GO:0031944)	5	1	.08	+	12.00	8.06E-02	9.15E-01
response to interleukin-2 (GO:0070669)	10	2	.17	+	12.00	1.14E-02	3.76E-01
negative regulation of voltage-gated calcium channel activity (GO:1901386)	10	2	.17	+	12.00	1.14E-02	3.75E-01
retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)	5	1	.08	+	12.00	8.06E-02	9.14E-01
positive regulation of glomerulus development (GO:0090193)	5	1	.08	+	12.00	8.06E-02	9.14E-01
regulation of sprouting of injured axon (GO:0048686)	5	1	.08	+	12.00	8.06E-02	9.13E-01
detection of temperature stimulus involved in thermoception (GO:0050960)	5	1	.08	+	12.00	8.06E-02	9.12E-01
thermoception (GO:0050955)	10	2	.17	+	12.00	1.14E-02	3.74E-01
regulation of vesicle docking (GO:0106020)	5	1	.08	+	12.00	8.06E-02	9.12E-01
positive regulation of blood-brain barrier permeability (GO:1905605)	5	1	.08	+	12.00	8.06E-02	9.11E-01
ascending aorta development (GO:0035905)	5	1	.08	+	12.00	8.06E-02	9.10E-01
regulation of dense core granule exocytosis (GO:1905413)	5	1	.08	+	12.00	8.06E-02	9.10E-01
DNA ligation involved in DNA repair (GO:0051103)	5	1	.08	+	12.00	8.06E-02	9.09E-01
observational learning (GO:0098597)	10	2	.17	+	12.00	1.14E-02	3.73E-01
detection of virus (GO:0009597)	5	1	.08	+	12.00	8.06E-02	9.08E-01
negative regulation of Golgi to plasma membrane protein transport (GO:0042997)	5	1	.08	+	12.00	8.06E-02	9.08E-01
negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1904878)	5	1	.08	+	12.00	8.06E-02	9.07E-01
ciliary neurotrophic factor-mediated signaling pathway (GO:0070120)	5	1	.08	+	12.00	8.06E-02	9.06E-01
interleukin-15-mediated signaling pathway (GO:0035723)	10	2	.17	+	12.00	1.14E-02	3.73E-01
regulation of metalloendopeptidase activity (GO:1904683)	5	1	.08	+	12.00	8.06E-02	9.06E-01
negative regulation of clathrin-dependent endocytosis (GO:1900186)	5	1	.08	+	12.00	8.06E-02	9.05E-01
catagen (GO:0042637)	5	1	.08	+	12.00	8.06E-02	9.04E-01
leukotriene signaling pathway (GO:0061737)	5	1	.08	+	12.00	8.06E-02	9.04E-01
chemorepulsion of axon (GO:0061643)	5	1	.08	+	12.00	8.06E-02	9.03E-01
Roundabout signaling pathway (GO:0035385)	5	1	.08	+	12.00	8.06E-02	9.02E-01
glucose-6-phosphate transport (GO:0015760)	5	1	.08	+	12.00	8.06E-02	9.02E-01
bundle of His cell action potential (GO:0086043)	5	1	.08	+	12.00	8.06E-02	9.01E-01
hexose phosphate transport (GO:0015712)	5	1	.08	+	12.00	8.06E-02	9.00E-01
bundle of His cell to Purkinje myocyte signaling (GO:0086028)	5	1	.08	+	12.00	8.06E-02	9.00E-01
neuron-glial cell signaling (GO:0150099)	5	1	.08	+	12.00	8.06E-02	8.99E-01
positive regulation of monoatomic anion transport (GO:1903793)	5	1	.08	+	12.00	8.06E-02	8.98E-01
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	5	1	.08	+	12.00	8.06E-02	8.98E-01
dermatan sulfate catabolic process (GO:0030209)	5	1	.08	+	12.00	8.06E-02	8.97E-01
neural plate regionalization (GO:0060897)	5	1	.08	+	12.00	8.06E-02	8.96E-01
negative regulation of lamellipodium assembly (GO:0010593)	5	1	.08	+	12.00	8.06E-02	8.96E-01
myotube differentiation involved in skeletal muscle regeneration (GO:0014908)	10	2	.17	+	12.00	1.14E-02	3.72E-01
negative regulation of mature B cell apoptotic process (GO:0002906)	5	1	.08	+	12.00	8.06E-02	8.95E-01
regulation of mature B cell apoptotic process (GO:0002905)	5	1	.08	+	12.00	8.06E-02	8.95E-01
positive regulation of B cell apoptotic process (GO:0002904)	5	1	.08	+	12.00	8.06E-02	8.94E-01
paramesonephric duct development (GO:0061205)	5	1	.08	+	12.00	8.06E-02	8.93E-01
hair follicle placode formation (GO:0060789)	5	1	.08	+	12.00	8.06E-02	8.93E-01
noradrenergic neuron development (GO:0003358)	5	1	.08	+	12.00	8.06E-02	8.92E-01
noradrenergic neuron differentiation (GO:0003357)	10	2	.17	+	12.00	1.14E-02	3.71E-01
positive regulation of skeletal muscle cell proliferation (GO:0014858)	5	1	.08	+	12.00	8.06E-02	8.91E-01
intestine smooth muscle contraction (GO:0014827)	5	1	.08	+	12.00	8.06E-02	8.91E-01
gephyrin clustering involved in postsynaptic density assembly (GO:0097116)	5	1	.08	+	12.00	8.06E-02	8.90E-01
negative regulation of calcium ion-dependent exocytosis (GO:0045955)	10	2	.17	+	12.00	1.14E-02	3.70E-01
positive regulation of translational elongation (GO:0045901)	5	1	.08	+	12.00	8.06E-02	8.89E-01
corticospinal tract morphogenesis (GO:0021957)	10	2	.17	+	12.00	1.14E-02	3.70E-01
atrial septum primum morphogenesis (GO:0003289)	5	1	.08	+	12.00	8.06E-02	8.89E-01
positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)	5	1	.08	+	12.00	8.06E-02	8.88E-01
ciliary body morphogenesis (GO:0061073)	5	1	.08	+	12.00	8.06E-02	8.87E-01
protein localization to chloroplast (GO:0072598)	5	1	.08	+	12.00	8.06E-02	8.87E-01
establishment of protein localization to chloroplast (GO:0072596)	5	1	.08	+	12.00	8.06E-02	8.86E-01
regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)	26	5	.43	+	11.54	6.17E-05	8.89E-03
behavioral response to pain (GO:0048266)	32	6	.53	+	11.25	1.29E-05	2.32E-03
neuron-neuron synaptic transmission (GO:0007270)	11	2	.18	+	10.91	1.38E-02	4.28E-01
inositol trisphosphate metabolic process (GO:0032957)	11	2	.18	+	10.91	1.38E-02	4.27E-01
phosphatidic acid biosynthetic process (GO:0006654)	22	4	.37	+	10.91	4.38E-04	4.12E-02
neurofilament cytoskeleton organization (GO:0060052)	11	2	.18	+	10.91	1.38E-02	4.26E-01
glomerular basement membrane development (GO:0032836)	11	2	.18	+	10.91	1.38E-02	4.25E-01
regulation of blood volume by renin-angiotensin (GO:0002016)	11	2	.18	+	10.91	1.38E-02	4.24E-01
response to interleukin-15 (GO:0070672)	11	2	.18	+	10.91	1.38E-02	4.24E-01
negative regulation of hormone biosynthetic process (GO:0032353)	11	2	.18	+	10.91	1.38E-02	4.23E-01
negative regulation of inflammatory response to wounding (GO:0106015)	11	2	.18	+	10.91	1.38E-02	4.22E-01
positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	11	2	.18	+	10.91	1.38E-02	4.21E-01
neuronal dense core vesicle exocytosis (GO:0099011)	11	2	.18	+	10.91	1.38E-02	4.20E-01
learned vocalization behavior or vocal learning (GO:0098598)	11	2	.18	+	10.91	1.38E-02	4.19E-01
negative regulation of myeloid leukocyte mediated immunity (GO:0002887)	11	2	.18	+	10.91	1.38E-02	4.19E-01
diaphragm development (GO:0060539)	11	2	.18	+	10.91	1.38E-02	4.18E-01
glomerular filtration (GO:0003094)	18	3	.30	+	10.00	3.11E-03	1.68E-01
mucus secretion (GO:0070254)	18	3	.30	+	10.00	3.11E-03	1.68E-01
U2-type prespliceosome assembly (GO:1903241)	6	1	.10	+	10.00	9.60E-02	9.86E-01
negative regulation of protein targeting to mitochondrion (GO:1903215)	6	1	.10	+	10.00	9.60E-02	9.85E-01
regulation of axon guidance (GO:1902667)	12	2	.20	+	10.00	1.64E-02	4.79E-01
eosinophil mediated immunity (GO:0002447)	6	1	.10	+	10.00	9.60E-02	9.84E-01
response to carbon dioxide (GO:0010037)	6	1	.10	+	10.00	9.60E-02	9.84E-01
proprioception (GO:0019230)	6	1	.10	+	10.00	9.60E-02	9.83E-01
regulation of peptidyl-lysine acetylation (GO:2000756)	12	2	.20	+	10.00	1.64E-02	4.78E-01
regulation of primary miRNA processing (GO:2000634)	6	1	.10	+	10.00	9.60E-02	9.83E-01
negative regulation of transforming growth factor beta1 production (GO:0032911)	6	1	.10	+	10.00	9.60E-02	9.82E-01
renal vesicle formation (GO:0072033)	6	1	.10	+	10.00	9.60E-02	9.81E-01
interleukin-17A-mediated signaling pathway (GO:0038173)	6	1	.10	+	10.00	9.60E-02	9.81E-01
somatostatin signaling pathway (GO:0038170)	6	1	.10	+	10.00	9.60E-02	9.80E-01
modulation by host of viral RNA genome replication (GO:0044830)	6	1	.10	+	10.00	9.60E-02	9.79E-01
somatostatin receptor signaling pathway (GO:0038169)	6	1	.10	+	10.00	9.60E-02	9.79E-01
rhythmic synaptic transmission (GO:0060024)	6	1	.10	+	10.00	9.60E-02	9.78E-01
desmosome assembly (GO:0002159)	6	1	.10	+	10.00	9.60E-02	9.77E-01
response to heparin (GO:0071503)	6	1	.10	+	10.00	9.60E-02	9.77E-01
neuron projection extension involved in neuron projection guidance (GO:1902284)	12	2	.20	+	10.00	1.64E-02	4.77E-01
regulation of monocyte extravasation (GO:2000437)	6	1	.10	+	10.00	9.60E-02	9.76E-01
cellular response to laminar fluid shear stress (GO:0071499)	6	1	.10	+	10.00	9.60E-02	9.75E-01
negative regulation of gamma-aminobutyric acid secretion (GO:0014053)	6	1	.10	+	10.00	9.60E-02	9.75E-01
regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	6	1	.10	+	10.00	9.60E-02	9.74E-01
regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:1902162)	6	1	.10	+	10.00	9.60E-02	9.73E-01
cellular response to glucagon stimulus (GO:0071377)	12	2	.20	+	10.00	1.64E-02	4.76E-01
protein transport into membrane raft (GO:0032596)	6	1	.10	+	10.00	9.60E-02	9.73E-01
negative regulation of peptidyl-cysteine S-nitrosylation (GO:1902083)	6	1	.10	+	10.00	9.60E-02	9.72E-01
cellular response to ammonium ion (GO:0071242)	6	1	.10	+	10.00	9.60E-02	9.72E-01
axon extension involved in axon guidance (GO:0048846)	12	2	.20	+	10.00	1.64E-02	4.75E-01
regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)	6	1	.10	+	10.00	9.60E-02	9.71E-01
regulation of protein oligomerization (GO:0032459)	6	1	.10	+	10.00	9.60E-02	9.70E-01
negative regulation of mitochondrial calcium ion concentration (GO:0051562)	6	1	.10	+	10.00	9.60E-02	9.70E-01
