




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
supercoiled DNA binding (GO:0097100)	5	2	.32	+	6.19	3.66E-02	6.52E-01
regulatory region RNA binding (GO:0001069)	5	2	.32	+	6.19	3.66E-02	6.50E-01
G protein-coupled acetylcholine receptor activity (GO:0016907)	5	2	.32	+	6.19	3.66E-02	6.47E-01
oxygen carrier activity (GO:0005344)	13	5	.84	+	5.95	9.29E-04	5.59E-02
nickel cation binding (GO:0016151)	8	3	.52	+	5.80	1.18E-02	3.28E-01
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	8	3	.52	+	5.80	1.18E-02	3.26E-01
glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0050508)	3	1	.19	+	5.16	1.82E-01	1.00E00
prostaglandin-D synthase activity (GO:0004667)	3	1	.19	+	5.16	1.82E-01	1.00E00
ferric-chelate reductase activity (GO:0000293)	3	1	.19	+	5.16	1.82E-01	1.00E00
indanol dehydrogenase activity (GO:0047718)	3	1	.19	+	5.16	1.82E-01	1.00E00
phosphoglycerate mutase activity (GO:0004619)	3	1	.19	+	5.16	1.82E-01	1.00E00
phosphatidate cytidylyltransferase activity (GO:0004605)	3	1	.19	+	5.16	1.82E-01	1.00E00
NAD+ diphosphatase activity (GO:0000210)	3	1	.19	+	5.16	1.82E-01	1.00E00
chromo shadow domain binding (GO:0070087)	6	2	.39	+	5.16	5.26E-02	8.27E-01
fatty acid amide hydrolase activity (GO:0017064)	3	1	.19	+	5.16	1.82E-01	1.00E00
inositol-1,4,5-trisphosphate 5-phosphatase activity (GO:0052658)	6	2	.39	+	5.16	5.26E-02	8.24E-01
oxoglutarate dehydrogenase (succinyl-transferring) activity (GO:0004591)	3	1	.19	+	5.16	1.82E-01	1.00E00
peptide-glutamate-alpha-N-acetyltransferase activity (GO:1990190)	3	1	.19	+	5.16	1.82E-01	1.00E00
phosphodiesterase decapping endonuclease activity (GO:1990174)	3	1	.19	+	5.16	1.82E-01	1.00E00
alpha-amylase activity (GO:0004556)	3	1	.19	+	5.16	1.82E-01	1.00E00
Toll-like receptor 4 binding (GO:0035662)	3	1	.19	+	5.16	1.82E-01	1.00E00
ganglioside GM1 binding (GO:1905573)	3	1	.19	+	5.16	1.82E-01	1.00E00
cupric reductase (NADH) activity (GO:0008823)	3	1	.19	+	5.16	1.82E-01	1.00E00
vascular endothelial growth factor receptor 1 binding (GO:0043183)	3	1	.19	+	5.16	1.82E-01	1.00E00
hydroxyacylglutathione hydrolase activity (GO:0004416)	3	1	.19	+	5.16	1.82E-01	1.00E00
ribosylnicotinamide kinase activity (GO:0050262)	3	1	.19	+	5.16	1.82E-01	1.00E00
mRNA m(6)A methyltransferase activity (GO:0001734)	6	2	.39	+	5.16	5.26E-02	8.22E-01
procollagen galactosyltransferase activity (GO:0050211)	3	1	.19	+	5.16	1.82E-01	1.00E00
G protein-coupled pyrimidinergic nucleotide receptor activity (GO:0071553)	3	1	.19	+	5.16	1.82E-01	1.00E00
sterol response element binding (GO:0032810)	3	1	.19	+	5.16	1.82E-01	1.00E00
U4atac snRNA binding (GO:0030622)	3	1	.19	+	5.16	1.82E-01	1.00E00
ribonucleoside-diphosphate reductase activity (GO:0061731)	3	1	.19	+	5.16	1.82E-01	1.00E00
L-allo-threonine aldolase activity (GO:0008732)	3	1	.19	+	5.16	1.82E-01	1.00E00
ATPase-coupled monocarboxylic acid transmembrane transporter activity (GO:0033285)	3	1	.19	+	5.16	1.82E-01	1.00E00
ATPase-coupled carboxylic acid transmembrane transporter activity (GO:0033284)	3	1	.19	+	5.16	1.82E-01	1.00E00
ATPase-coupled organic acid transmembrane transporter activity (GO:0033283)	3	1	.19	+	5.16	1.82E-01	1.00E00
vascular endothelial growth factor binding (GO:0038085)	6	2	.39	+	5.16	5.26E-02	8.19E-01
hemi-methylated DNA-binding (GO:0044729)	3	1	.19	+	5.16	1.82E-01	1.00E00
8-oxo-dGDP phosphatase activity (GO:0044715)	3	1	.19	+	5.16	1.82E-01	1.00E00
G protein-coupled adenosine receptor activity (GO:0001609)	6	2	.39	+	5.16	5.26E-02	8.17E-01
chondroitin sulfate proteoglycan binding (GO:0035373)	3	1	.19	+	5.16	1.82E-01	1.00E00
FFAT motif binding (GO:0033149)	3	1	.19	+	5.16	1.82E-01	1.00E00
UMP/dUMP kinase activity (GO:0009041)	3	1	.19	+	5.16	1.82E-01	1.00E00
hemoglobin binding (GO:0030492)	12	4	.78	+	5.16	5.65E-03	1.91E-01
N-acetylglucosamine 6-O-sulfotransferase activity (GO:0001517)	6	2	.39	+	5.16	5.26E-02	8.14E-01
beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminide alpha-2,3- sialyltransferase (GO:0047288)	3	1	.19	+	5.16	1.82E-01	1.00E00
sodium:potassium:chloride symporter activity (GO:0008511)	3	1	.19	+	5.16	1.82E-01	1.00E00
G protein-coupled UTP receptor activity (GO:0045030)	3	1	.19	+	5.16	1.82E-01	1.00E00
DNA end binding (GO:0045027)	3	1	.19	+	5.16	1.82E-01	1.00E00
cholinesterase activity (GO:0004104)	3	1	.19	+	5.16	1.82E-01	1.00E00
diacylglycerol lipase activity (GO:0120516)	3	1	.19	+	5.16	1.82E-01	1.00E00
iron-responsive element binding (GO:0030350)	3	1	.19	+	5.16	1.82E-01	1.00E00
DNA polymerase processivity factor activity (GO:0030337)	3	1	.19	+	5.16	1.82E-01	1.00E00
G-rich single-stranded DNA binding (GO:1990955)	3	1	.19	+	5.16	1.82E-01	1.00E00
carnitine O-octanoyltransferase activity (GO:0008458)	3	1	.19	+	5.16	1.82E-01	1.00E00
N-acetylglucosamine-6-sulfatase activity (GO:0008449)	3	1	.19	+	5.16	1.82E-01	1.00E00
histone pre-mRNA DCP binding (GO:0071208)	3	1	.19	+	5.16	1.82E-01	1.00E00
bisphosphoglycerate mutase activity (GO:0004082)	3	1	.19	+	5.16	1.82E-01	1.00E00
membrane curvature sensor activity (GO:0140090)	3	1	.19	+	5.16	1.82E-01	1.00E00
ISG15 transferase activity (GO:0042296)	3	1	.19	+	5.16	1.82E-01	1.00E00
C-rich single-stranded DNA binding (GO:1990829)	3	1	.19	+	5.16	1.82E-01	1.00E00
low voltage-gated calcium channel activity (GO:0008332)	3	1	.19	+	5.16	1.82E-01	1.00E00
suramin binding (GO:0043924)	3	1	.19	+	5.16	1.82E-01	1.00E00
preprotein binding (GO:0070678)	3	1	.19	+	5.16	1.82E-01	1.00E00
ABC-type bile acid transporter activity (GO:0015432)	3	1	.19	+	5.16	1.82E-01	1.00E00
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity (GO:0046538)	3	1	.19	+	5.16	1.82E-01	1.00E00
neuropeptide Y receptor binding (GO:0031841)	3	1	.19	+	5.16	1.82E-01	1.00E00
substance K receptor binding (GO:0031837)	3	1	.19	+	5.16	1.82E-01	1.00E00
neurokinin receptor binding (GO:0031834)	3	1	.19	+	5.16	1.82E-01	1.00E00
macrolide binding (GO:0005527)	6	2	.39	+	5.16	5.26E-02	8.12E-01
chondroitin sulfotransferase activity (GO:0034481)	6	2	.39	+	5.16	5.26E-02	8.10E-01
extracellular matrix constituent conferring elasticity (GO:0030023)	6	2	.39	+	5.16	5.26E-02	8.07E-01
structural constituent of bone (GO:0008147)	3	1	.19	+	5.16	1.82E-01	1.00E00
N-acetyllactosaminide alpha-2,3-sialyltransferase activity (GO:0008118)	3	1	.19	+	5.16	1.82E-01	1.00E00
hemoglobin beta binding (GO:0031722)	3	1	.19	+	5.16	1.82E-01	1.00E00
UDP-glucose transmembrane transporter activity (GO:0005460)	3	1	.19	+	5.16	1.82E-01	1.00E00
biotin transmembrane transporter activity (GO:0015225)	3	1	.19	+	5.16	1.82E-01	1.00E00
cytidine transmembrane transporter activity (GO:0015212)	3	1	.19	+	5.16	1.82E-01	1.00E00
uracil transmembrane transporter activity (GO:0015210)	3	1	.19	+	5.16	1.82E-01	1.00E00
adenine transmembrane transporter activity (GO:0015207)	3	1	.19	+	5.16	1.82E-01	1.00E00
thiol oxidase activity (GO:0016972)	6	2	.39	+	5.16	5.26E-02	8.05E-01
flavin-dependent sulfhydryl oxidase activity (GO:0016971)	3	1	.19	+	5.16	1.82E-01	1.00E00
DNA negative supercoiling activity (GO:0034335)	3	1	.19	+	5.16	1.82E-01	1.00E00
dinucleotide insertion or deletion binding (GO:0032139)	3	1	.19	+	5.16	1.82E-01	1.00E00
G protein-coupled GABA receptor activity (GO:0004965)	3	1	.19	+	5.16	1.82E-01	1.00E00
cannabinoid receptor activity (GO:0004949)	3	1	.19	+	5.16	1.82E-01	1.00E00
alpha-adrenergic receptor activity (GO:0004936)	6	2	.39	+	5.16	5.26E-02	8.02E-01
oncostatin-M receptor activity (GO:0004924)	3	1	.19	+	5.16	1.82E-01	1.00E00
histone H3K27 trimethyltransferase activity (GO:0140951)	3	1	.19	+	5.16	1.82E-01	1.00E00
UMP kinase activity (GO:0033862)	3	1	.19	+	5.16	1.82E-01	1.00E00
A1 adenosine receptor binding (GO:0031686)	3	1	.19	+	5.16	1.82E-01	1.00E00
O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity (GO:0033829)	3	1	.19	+	5.16	1.82E-01	1.00E00
structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184)	3	1	.19	+	5.16	1.82E-01	1.00E00
taurine:sodium symporter activity (GO:0005369)	3	1	.19	+	5.16	1.82E-01	1.00E00
D-glucose:proton symporter activity (GO:0005356)	3	1	.19	+	5.16	1.82E-01	1.00E00
dCMP kinase activity (GO:0036431)	3	1	.19	+	5.16	1.82E-01	1.00E00
CMP kinase activity (GO:0036430)	3	1	.19	+	5.16	1.82E-01	1.00E00
myosin head/neck binding (GO:0032028)	3	1	.19	+	5.16	1.82E-01	1.00E00
cadherin binding involved in cell-cell adhesion (GO:0098641)	3	1	.19	+	5.16	1.82E-01	1.00E00
collagen fibril binding (GO:0098633)	3	1	.19	+	5.16	1.82E-01	1.00E00
uridine kinase activity (GO:0004849)	3	1	.19	+	5.16	1.82E-01	1.00E00
cholesterol-protein transferase activity (GO:0140853)	3	1	.19	+	5.16	1.82E-01	1.00E00
thyroxine 5'-deiodinase activity (GO:0004800)	3	1	.19	+	5.16	1.82E-01	1.00E00
hexose:proton symporter activity (GO:0009679)	3	1	.19	+	5.16	1.82E-01	1.00E00
potassium:sodium symporter activity (GO:0009674)	3	1	.19	+	5.16	1.82E-01	1.00E00
oleate transmembrane transporter activity (GO:1901480)	6	2	.39	+	5.16	5.26E-02	8.00E-01
ferric-chelate reductase (NADPH) activity (GO:0052851)	3	1	.19	+	5.16	1.82E-01	1.00E00
threonine aldolase activity (GO:0004793)	3	1	.19	+	5.16	1.82E-01	1.00E00
succinyltransferase activity (GO:0016748)	3	1	.19	+	5.16	1.82E-01	1.00E00
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor (GO:0004748)	3	1	.19	+	5.16	1.82E-01	1.00E00
L-glutamate uniporter activity (GO:0140788)	3	1	.19	+	5.16	1.82E-01	1.00E00
RNA transmembrane transporter activity (GO:0051033)	3	1	.19	+	5.16	1.82E-01	1.00E00
nucleic acid transmembrane transporter activity (GO:0051032)	3	1	.19	+	5.16	1.82E-01	1.00E00
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity (GO:0050567)	3	1	.19	+	5.16	1.82E-01	1.00E00
heparan sulfate binding (GO:1904399)	9	3	.58	+	5.16	1.68E-02	4.16E-01
intramolecular phosphotransferase activity (GO:0016868)	9	3	.58	+	5.16	1.68E-02	4.14E-01
arachidonate omega-hydroxylase activity (GO:0052869)	9	3	.58	+	5.16	1.68E-02	4.12E-01
icosanoid transmembrane transporter activity (GO:0071714)	13	4	.84	+	4.76	7.75E-03	2.39E-01
cyclosporin A binding (GO:0016018)	13	4	.84	+	4.76	7.75E-03	2.37E-01
nucleoside kinase activity (GO:0019206)	10	3	.65	+	4.64	2.29E-02	5.01E-01
inositol-polyphosphate 5-phosphatase activity (GO:0004445)	10	3	.65	+	4.64	2.29E-02	4.99E-01
anaphase-promoting complex binding (GO:0010997)	10	3	.65	+	4.64	2.29E-02	4.97E-01
thioesterase binding (GO:0031996)	10	3	.65	+	4.64	2.29E-02	4.94E-01
U3 snoRNA binding (GO:0034511)	10	3	.65	+	4.64	2.29E-02	4.92E-01
U1 snRNP binding (GO:1990446)	10	3	.65	+	4.64	2.29E-02	4.90E-01
neuropilin binding (GO:0038191)	17	5	1.10	+	4.55	3.59E-03	1.47E-01
plus-end-directed microtubule motor activity (GO:0008574)	17	5	1.10	+	4.55	3.59E-03	1.46E-01
patched binding (GO:0005113)	7	2	.45	+	4.42	7.05E-02	7.42E-01
ATPase-coupled lipid transmembrane transporter activity (GO:0034040)	7	2	.45	+	4.42	7.05E-02	7.40E-01
ADP phosphatase activity (GO:0043262)	7	2	.45	+	4.42	7.05E-02	7.39E-01
crossover junction DNA endonuclease activity (GO:0008821)	7	2	.45	+	4.42	7.05E-02	7.37E-01
tumor necrosis factor binding (GO:0043120)	7	2	.45	+	4.42	7.05E-02	7.36E-01
choline binding (GO:0033265)	7	2	.45	+	4.42	7.05E-02	7.34E-01
snRNP binding (GO:0070990)	14	4	.90	+	4.42	1.03E-02	2.99E-01
protein-arginine omega-N asymmetric methyltransferase activity (GO:0035242)	7	2	.45	+	4.42	7.05E-02	7.33E-01
structural molecule activity conferring elasticity (GO:0097493)	7	2	.45	+	4.42	7.05E-02	7.31E-01
S100 protein binding (GO:0044548)	14	4	.90	+	4.42	1.03E-02	2.97E-01
phosphofructokinase activity (GO:0008443)	7	2	.45	+	4.42	7.05E-02	7.30E-01
G protein-coupled neurotransmitter receptor activity (GO:0099528)	14	4	.90	+	4.42	1.03E-02	2.96E-01
short-chain carboxylesterase activity (GO:0034338)	7	2	.45	+	4.42	7.05E-02	7.28E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen (GO:0016714)	7	2	.45	+	4.42	7.05E-02	7.27E-01
protein disulfide isomerase activity (GO:0003756)	18	5	1.16	+	4.30	4.72E-03	1.77E-01
mechanosensitive monoatomic ion channel activity (GO:0008381)	18	5	1.16	+	4.30	4.72E-03	1.76E-01
long-chain fatty acid transmembrane transporter activity (GO:0005324)	18	5	1.16	+	4.30	4.72E-03	1.75E-01
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	18	5	1.16	+	4.30	4.72E-03	1.73E-01
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	11	3	.71	+	4.22	3.00E-02	5.79E-01
syntaxin-1 binding (GO:0017075)	22	6	1.42	+	4.22	2.19E-03	1.08E-01
activin binding (GO:0048185)	11	3	.71	+	4.22	3.00E-02	5.77E-01
axon guidance receptor activity (GO:0008046)	11	3	.71	+	4.22	3.00E-02	5.75E-01
prostaglandin transmembrane transporter activity (GO:0015132)	11	3	.71	+	4.22	3.00E-02	5.73E-01
G-rich strand telomeric DNA binding (GO:0098505)	11	3	.71	+	4.22	3.00E-02	5.71E-01
monoatomic ion-gated channel activity (GO:0022839)	30	8	1.94	+	4.13	4.84E-04	3.48E-02
toxic substance binding (GO:0015643)	15	4	.97	+	4.13	1.33E-02	3.48E-01
DNA replication origin binding (GO:0003688)	15	4	.97	+	4.13	1.33E-02	3.46E-01
NADPH binding (GO:0070402)	19	5	1.23	+	4.07	6.06E-03	2.00E-01
oxygen binding (GO:0019825)	23	6	1.49	+	4.04	2.80E-03	1.27E-01
cAMP response element binding (GO:0035497)	12	3	.78	+	3.87	3.82E-02	6.59E-01
mRNA regulatory element binding translation repressor activity (GO:0000900)	12	3	.78	+	3.87	3.82E-02	6.57E-01
poly(U) RNA binding (GO:0008266)	28	7	1.81	+	3.87	1.65E-03	8.96E-02
profilin binding (GO:0005522)	12	3	.78	+	3.87	3.82E-02	6.55E-01
metalloendopeptidase inhibitor activity (GO:0008191)	12	3	.78	+	3.87	3.82E-02	6.52E-01
S-methyltransferase activity (GO:0008172)	12	3	.78	+	3.87	3.82E-02	6.50E-01
outward rectifier potassium channel activity (GO:0015271)	24	6	1.55	+	3.87	3.53E-03	1.46E-01
calcium-activated potassium channel activity (GO:0015269)	12	3	.78	+	3.87	3.82E-02	6.48E-01
RNA polymerase II CTD heptapeptide repeat P6 isomerase activity (GO:0140840)	28	7	1.81	+	3.87	1.65E-03	8.86E-02
RNA polymerase II CTD heptapeptide repeat P3 isomerase activity (GO:0140839)	28	7	1.81	+	3.87	1.65E-03	8.77E-02
RNA polymerase II CTD heptapeptide repeat peptidyl-prolyl isomerase activity (GO:0140838)	28	7	1.81	+	3.87	1.65E-03	8.68E-02
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	16	4	1.03	+	3.87	1.69E-02	4.11E-01
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	8	2	.52	+	3.87	9.01E-02	8.77E-01
endopolyphosphatase activity (GO:0000298)	4	1	.26	+	3.87	2.34E-01	1.00E00
lysophosphatidic acid binding (GO:0035727)	8	2	.52	+	3.87	9.01E-02	8.75E-01
thrombospondin receptor activity (GO:0070053)	4	1	.26	+	3.87	2.34E-01	1.00E00
laminin receptor activity (GO:0005055)	4	1	.26	+	3.87	2.34E-01	1.00E00
peptide-serine-alpha-N-acetyltransferase activity (GO:1990189)	4	1	.26	+	3.87	2.34E-01	1.00E00
RNA-DNA hybrid ribonuclease activity (GO:0004523)	4	1	.26	+	3.87	2.34E-01	1.00E00
peptidyl-cysteine S-nitrosylase activity (GO:0035605)	4	1	.26	+	3.87	2.34E-01	1.00E00
purine nucleoside binding (GO:0001883)	4	1	.26	+	3.87	2.34E-01	1.00E00
C-acetyltransferase activity (GO:0016453)	8	2	.52	+	3.87	9.01E-02	8.74E-01
beta-lactamase activity (GO:0008800)	4	1	.26	+	3.87	2.34E-01	1.00E00
isocitrate dehydrogenase [NAD(P)+] activity (GO:0004448)	4	1	.26	+	3.87	2.34E-01	1.00E00
NADH pyrophosphatase activity (GO:0035529)	4	1	.26	+	3.87	2.34E-01	1.00E00
acyl-CoA oxidase activity (GO:0003997)	8	2	.52	+	3.87	9.01E-02	8.72E-01
acetate-CoA ligase activity (GO:0003987)	4	1	.26	+	3.87	2.34E-01	1.00E00
palmitoyl-CoA 9-desaturase activity (GO:0032896)	4	1	.26	+	3.87	2.34E-01	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	4	1	.26	+	3.87	2.34E-01	1.00E00
guanylate kinase activity (GO:0004385)	4	1	.26	+	3.87	2.34E-01	1.00E00
ethanolamine kinase activity (GO:0004305)	4	1	.26	+	3.87	2.34E-01	1.00E00
filamin binding (GO:0031005)	16	4	1.03	+	3.87	1.69E-02	4.09E-01
monoacylglycerol lipase activity (GO:0047372)	16	4	1.03	+	3.87	1.69E-02	4.07E-01
H3K27me3 modified histone binding (GO:0061628)	4	1	.26	+	3.87	2.34E-01	1.00E00
kynurenine-oxoglutarate transaminase activity (GO:0016212)	4	1	.26	+	3.87	2.34E-01	1.00E00
purine nucleobase binding (GO:0002060)	4	1	.26	+	3.87	2.34E-01	1.00E00
H3K9me3 modified histone binding (GO:0062072)	4	1	.26	+	3.87	2.34E-01	1.00E00
serine binding (GO:0070905)	4	1	.26	+	3.87	2.34E-01	1.00E00
hydroxyapatite binding (GO:0046848)	8	2	.52	+	3.87	9.01E-02	8.71E-01
amylase activity (GO:0016160)	4	1	.26	+	3.87	2.34E-01	1.00E00
sucrose transmembrane transporter activity (GO:0008515)	4	1	.26	+	3.87	2.34E-01	1.00E00
sucrose:proton symporter activity (GO:0008506)	4	1	.26	+	3.87	2.34E-01	1.00E00
oleoyl-CoA ligase activity (GO:0090434)	4	1	.26	+	3.87	2.34E-01	1.00E00
mechanosensitive monoatomic cation channel activity (GO:0140135)	8	2	.52	+	3.87	9.01E-02	8.69E-01
spermidine transmembrane transporter activity (GO:0015606)	4	1	.26	+	3.87	2.34E-01	1.00E00
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	4	1	.26	+	3.87	2.34E-01	1.00E00
amidase activity (GO:0004040)	4	1	.26	+	3.87	2.34E-01	1.00E00
branched-chain alpha-keto acid dehydrogenase activity (GO:0047101)	4	1	.26	+	3.87	2.34E-01	1.00E00
purine-rich negative regulatory element binding (GO:0032422)	4	1	.26	+	3.87	2.34E-01	1.00E00
sequence-specific mRNA binding (GO:1990825)	16	4	1.03	+	3.87	1.69E-02	4.05E-01
polyamine binding (GO:0019808)	4	1	.26	+	3.87	2.34E-01	1.00E00
glial cell-derived neurotrophic factor receptor binding (GO:0030116)	4	1	.26	+	3.87	2.34E-01	1.00E00
phosphatidylinositol-4-phosphate phosphatase activity (GO:0043812)	4	1	.26	+	3.87	2.34E-01	1.00E00
mismatch base pair DNA N-glycosylase activity (GO:0000700)	4	1	.26	+	3.87	2.34E-01	1.00E00
oleic acid binding (GO:0070538)	4	1	.26	+	3.87	2.34E-01	1.00E00
coenzyme A binding (GO:0120225)	4	1	.26	+	3.87	2.34E-01	1.00E00
hedgehog family protein binding (GO:0097108)	4	1	.26	+	3.87	2.34E-01	1.00E00
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	4	1	.26	+	3.87	2.34E-01	1.00E00
cytidine kinase activity (GO:0043771)	4	1	.26	+	3.87	2.34E-01	1.00E00
cobalt ion binding (GO:0050897)	8	2	.52	+	3.87	9.01E-02	8.67E-01
NADH binding (GO:0070404)	4	1	.26	+	3.87	2.34E-01	1.00E00
guanine transmembrane transporter activity (GO:0015208)	4	1	.26	+	3.87	2.34E-01	1.00E00
phosphothreonine residue binding (GO:0050816)	4	1	.26	+	3.87	2.34E-01	1.00E00
galanin receptor activity (GO:0004966)	4	1	.26	+	3.87	2.34E-01	1.00E00
histone H3K9 trimethyltransferase activity (GO:0140949)	4	1	.26	+	3.87	2.34E-01	1.00E00
histone H2B deubiquitinase activity (GO:0140936)	4	1	.26	+	3.87	2.34E-01	1.00E00
very-low-density lipoprotein particle receptor binding (GO:0070326)	4	1	.26	+	3.87	2.34E-01	1.00E00
oligosaccharide transmembrane transporter activity (GO:0015157)	4	1	.26	+	3.87	2.34E-01	1.00E00
disaccharide transmembrane transporter activity (GO:0015154)	4	1	.26	+	3.87	2.34E-01	1.00E00
ciliary neurotrophic factor receptor activity (GO:0004897)	4	1	.26	+	3.87	2.34E-01	1.00E00
glycine N-acyltransferase activity (GO:0047961)	4	1	.26	+	3.87	2.34E-01	1.00E00
angiostatin binding (GO:0043532)	4	1	.26	+	3.87	2.34E-01	1.00E00
sucrose:monoatomic cation symporter activity (GO:0009669)	4	1	.26	+	3.87	2.34E-01	1.00E00
A-type (transient outward) potassium channel activity (GO:0005250)	4	1	.26	+	3.87	2.34E-01	1.00E00
CDP phosphatase activity (GO:0036384)	4	1	.26	+	3.87	2.34E-01	1.00E00
acetyl-CoA C-myristoyltransferase activity (GO:0050633)	4	1	.26	+	3.87	2.34E-01	1.00E00
apolipoprotein A-I receptor binding (GO:0034191)	4	1	.26	+	3.87	2.34E-01	1.00E00
pyrroline-5-carboxylate reductase activity (GO:0004735)	4	1	.26	+	3.87	2.34E-01	1.00E00
DNA/RNA helicase activity (GO:0033677)	4	1	.26	+	3.87	2.34E-01	1.00E00
Rho GDP-dissociation inhibitor binding (GO:0051022)	4	1	.26	+	3.87	2.34E-01	1.00E00
8-hydroxy-2'-deoxyguanosine DNA binding (GO:1905773)	4	1	.26	+	3.87	2.34E-01	1.00E00
phosphatidylserine 1-acylhydrolase activity (GO:0052739)	8	2	.52	+	3.87	9.01E-02	8.66E-01
inositol hexakisphosphate 1-kinase activity (GO:0052723)	4	1	.26	+	3.87	2.34E-01	1.00E00
sodium channel regulator activity (GO:0017080)	37	9	2.39	+	3.76	4.57E-04	3.54E-02
calcium ion sensor activity (GO:0061891)	21	5	1.36	+	3.68	9.53E-03	2.82E-01
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	17	4	1.10	+	3.64	2.10E-02	4.77E-01
translation elongation factor activity (GO:0003746)	17	4	1.10	+	3.64	2.10E-02	4.74E-01
lamin binding (GO:0005521)	17	4	1.10	+	3.64	2.10E-02	4.72E-01
ligand-gated sodium channel activity (GO:0015280)	17	4	1.10	+	3.64	2.10E-02	4.70E-01
structural constituent of synapse (GO:0098918)	39	9	2.52	+	3.57	6.93E-04	4.60E-02
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906)	13	3	.84	+	3.57	4.73E-02	7.62E-01
single-stranded telomeric DNA binding (GO:0043047)	13	3	.84	+	3.57	4.73E-02	7.60E-01
phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)	13	3	.84	+	3.57	4.73E-02	7.58E-01
RNA polymerase II activity (GO:0001055)	13	3	.84	+	3.57	4.73E-02	7.55E-01
calcium-activated cation channel activity (GO:0005227)	26	6	1.68	+	3.57	5.41E-03	1.86E-01
semaphorin receptor activity (GO:0017154)	13	3	.84	+	3.57	4.73E-02	7.53E-01
forked DNA-dependent helicase activity (GO:0061749)	44	10	2.84	+	3.52	4.03E-04	3.27E-02
nitric-oxide synthase binding (GO:0050998)	22	5	1.42	+	3.52	1.17E-02	3.28E-01
metal ion sensor activity (GO:0140784)	22	5	1.42	+	3.52	1.17E-02	3.26E-01
four-way junction helicase activity (GO:0009378)	45	10	2.91	+	3.44	4.89E-04	3.47E-02
single-stranded 3'-5' DNA helicase activity (GO:1990518)	45	10	2.91	+	3.44	4.89E-04	3.42E-02
Tat protein binding (GO:0030957)	9	2	.58	+	3.44	1.11E-01	1.00E00
armadillo repeat domain binding (GO:0070016)	9	2	.58	+	3.44	1.11E-01	1.00E00
